Train samples: 288
Val samples:   48
Test samples:  45
[EarlyFusion2 LinearMix nnUNet] Total params: 31,190,957 (~31.19M) | Trainable: 31,190,957 (~31.19M)
Initial fusion weights: {'wet_weight': 0.5, 'dry_weight': 0.5, 'bias': 0.0}
================================================================================
Experiment directory: /net/fs-2/scale/OrionStore/Projects/WaiKnotCT/FullData/Multimodal/Fusion/EarlyFusion2/Model
Device: cuda:0
Epochs: 300, AMP: True, Accum steps: 2
Validate every: 1, Patience: 30
================================================================================
Epoch 001/300 | train loss 1.2109 | val loss 1.1741 | val metric 0.2568 | lr 0.0001 | time 491.6s | best 0.2568 at epoch 001
Epoch 002/300 | train loss 1.1096 | val loss 1.0868 | val metric 0.6960 | lr 0.0001 | time 486.3s | best 0.6960 at epoch 002
Epoch 003/300 | train loss 1.0260 | val loss 0.9764 | val metric 0.8086 | lr 0.0001 | time 481.0s | best 0.8086 at epoch 003
Epoch 004/300 | train loss 0.9356 | val loss 0.9138 | val metric 0.7926 | lr 0.0001 | time 471.4s | best 0.8086 at epoch 003
Epoch 005/300 | train loss 0.8415 | val loss 0.8655 | val metric 0.7735 | lr 0.0001 | time 471.8s | best 0.8086 at epoch 003
Epoch 006/300 | train loss 0.7574 | val loss 0.7548 | val metric 0.8613 | lr 0.0001 | time 476.5s | best 0.8613 at epoch 006
Epoch 007/300 | train loss 0.6930 | val loss 0.6575 | val metric 0.8556 | lr 0.0001 | time 473.5s | best 0.8613 at epoch 006
Epoch 008/300 | train loss 0.6266 | val loss 0.6343 | val metric 0.7579 | lr 0.0001 | time 471.6s | best 0.8613 at epoch 006
Epoch 009/300 | train loss 0.5826 | val loss 0.5316 | val metric 0.8772 | lr 0.0001 | time 477.0s | best 0.8772 at epoch 009
Epoch 010/300 | train loss 0.5167 | val loss 0.4869 | val metric 0.8720 | lr 8e-05 | time 472.7s | best 0.8772 at epoch 009
Epoch 011/300 | train loss 0.4671 | val loss 0.4152 | val metric 0.8793 | lr 8e-05 | time 477.8s | best 0.8793 at epoch 011
Epoch 012/300 | train loss 0.4340 | val loss 0.3779 | val metric 0.8669 | lr 8e-05 | time 473.2s | best 0.8793 at epoch 011
Epoch 013/300 | train loss 0.3930 | val loss 0.3783 | val metric 0.8448 | lr 8e-05 | time 473.0s | best 0.8793 at epoch 011
Epoch 014/300 | train loss 0.3623 | val loss 0.3140 | val metric 0.8496 | lr 8e-05 | time 473.1s | best 0.8793 at epoch 011
Epoch 015/300 | train loss 0.3318 | val loss 0.3113 | val metric 0.8776 | lr 8e-05 | time 473.6s | best 0.8793 at epoch 011
Epoch 016/300 | train loss 0.3063 | val loss 0.2563 | val metric 0.8823 | lr 8e-05 | time 477.2s | best 0.8823 at epoch 016
Epoch 017/300 | train loss 0.2684 | val loss 0.2953 | val metric 0.8436 | lr 8e-05 | time 472.6s | best 0.8823 at epoch 016
Epoch 018/300 | train loss 0.2375 | val loss 0.1963 | val metric 0.8758 | lr 8e-05 | time 473.8s | best 0.8823 at epoch 016
Epoch 019/300 | train loss 0.2084 | val loss 0.1760 | val metric 0.8448 | lr 8e-05 | time 472.5s | best 0.8823 at epoch 016
Epoch 020/300 | train loss 0.1952 | val loss 0.1951 | val metric 0.8838 | lr 6.4e-05 | time 477.8s | best 0.8838 at epoch 020
Epoch 021/300 | train loss 0.1720 | val loss 0.1497 | val metric 0.8806 | lr 6.4e-05 | time 473.1s | best 0.8838 at epoch 020
Epoch 022/300 | train loss 0.1604 | val loss 0.1634 | val metric 0.8717 | lr 6.4e-05 | time 476.8s | best 0.8838 at epoch 020
