Train samples: 288
Val samples:   48
Test samples:  45
[Intermediate CrossAttention] Total params: 30,798,851 (~30.80M) | Trainable: 30,798,851 (~30.80M)
Initial fusion info: {'gamma': 0.0, 'attn_dim': 128.0, 'attn_heads': 4.0}
================================================================================
Experiment directory: /net/fs-2/scale/OrionStore/Projects/WaiKnotCT/FullData/Multimodal/Fusion/IntermediateFusion/Model
Device: cuda:0
Epochs: 300, AMP: True, Accum steps: 2
Validate every: 1, Patience: 30
================================================================================
Epoch 001/300 | train loss 1.3677 | val loss 1.0930 | val metric 0.3396 | lr 0.0001 | time 385.3s | best 0.3396 at epoch 001
Epoch 002/300 | train loss 1.1602 | val loss 1.0447 | val metric 0.4356 | lr 0.0001 | time 372.1s | best 0.4356 at epoch 002
Epoch 003/300 | train loss 1.0530 | val loss 0.9514 | val metric 0.5084 | lr 0.0001 | time 385.1s | best 0.5084 at epoch 003
Epoch 004/300 | train loss 0.9671 | val loss 0.8606 | val metric 0.5374 | lr 0.0001 | time 386.7s | best 0.5374 at epoch 004
Epoch 005/300 | train loss 0.8944 | val loss 0.8275 | val metric 0.3567 | lr 0.0001 | time 383.7s | best 0.5374 at epoch 004
Epoch 006/300 | train loss 0.8298 | val loss 0.7610 | val metric 0.5515 | lr 0.0001 | time 388.6s | best 0.5515 at epoch 006
Epoch 007/300 | train loss 0.7740 | val loss 0.6980 | val metric 0.5158 | lr 0.0001 | time 385.4s | best 0.5515 at epoch 006
Epoch 008/300 | train loss 0.7241 | val loss 0.6878 | val metric 0.4091 | lr 0.0001 | time 384.1s | best 0.5515 at epoch 006
Epoch 009/300 | train loss 0.6833 | val loss 0.6415 | val metric 0.5416 | lr 0.0001 | time 384.6s | best 0.5515 at epoch 006
Epoch 010/300 | train loss 0.6395 | val loss 0.5968 | val metric 0.4971 | lr 8e-05 | time 384.7s | best 0.5515 at epoch 006
Epoch 011/300 | train loss 0.6063 | val loss 0.5731 | val metric 0.5745 | lr 8e-05 | time 389.6s | best 0.5745 at epoch 011
Epoch 012/300 | train loss 0.5819 | val loss 0.5462 | val metric 0.5344 | lr 8e-05 | time 384.9s | best 0.5745 at epoch 011
Epoch 013/300 | train loss 0.5541 | val loss 0.5115 | val metric 0.6876 | lr 8e-05 | time 388.4s | best 0.6876 at epoch 013
Epoch 014/300 | train loss 0.5327 | val loss 0.4961 | val metric 0.4954 | lr 8e-05 | time 384.5s | best 0.6876 at epoch 013
Epoch 015/300 | train loss 0.5084 | val loss 0.4522 | val metric 0.6089 | lr 8e-05 | time 384.1s | best 0.6876 at epoch 013
Epoch 016/300 | train loss 0.4853 | val loss 0.4242 | val metric 0.6995 | lr 8e-05 | time 388.8s | best 0.6995 at epoch 016
Epoch 017/300 | train loss 0.4633 | val loss 0.4217 | val metric 0.5682 | lr 8e-05 | time 384.3s | best 0.6995 at epoch 016
Epoch 018/300 | train loss 0.4409 | val loss 0.3785 | val metric 0.7331 | lr 8e-05 | time 388.8s | best 0.7331 at epoch 018
Epoch 019/300 | train loss 0.4184 | val loss 0.3482 | val metric 0.8475 | lr 8e-05 | time 387.7s | best 0.8475 at epoch 019
Epoch 020/300 | train loss 0.3982 | val loss 0.3394 | val metric 0.6786 | lr 6.4e-05 | time 385.0s | best 0.8475 at epoch 019
Epoch 021/300 | train loss 0.3762 | val loss 0.3081 | val metric 0.7134 | lr 6.4e-05 | time 384.4s | best 0.8475 at epoch 019
Epoch 022/300 | train loss 0.3590 | val loss 0.2844 | val metric 0.8102 | lr 6.4e-05 | time 384.4s | best 0.8475 at epoch 019
Epoch 023/300 | train loss 0.3396 | val loss 0.2719 | val metric 0.8297 | lr 6.4e-05 | time 384.5s | best 0.8475 at epoch 019
Epoch 024/300 | train loss 0.3218 | val loss 0.2533 | val metric 0.7241 | lr 6.4e-05 | time 384.2s | best 0.8475 at epoch 019
Epoch 025/300 | train loss 0.3030 | val loss 0.2303 | val metric 0.8172 | lr 6.4e-05 | time 384.2s | best 0.8475 at epoch 019
Epoch 026/300 | train loss 0.2862 | val loss 0.2377 | val metric 0.7622 | lr 6.4e-05 | time 384.8s | best 0.8475 at epoch 019
Epoch 027/300 | train loss 0.2688 | val loss 0.2053 | val metric 0.8024 | lr 6.4e-05 | time 385.2s | best 0.8475 at epoch 019
Epoch 028/300 | train loss 0.2496 | val loss 0.1819 | val metric 0.8666 | lr 6.4e-05 | time 389.0s | best 0.8666 at epoch 028
Epoch 029/300 | train loss 0.2334 | val loss 0.1976 | val metric 0.7865 | lr 6.4e-05 | time 385.2s | best 0.8666 at epoch 028
Epoch 030/300 | train loss 0.2226 | val loss 0.1610 | val metric 0.8544 | lr 5.12e-05 | time 385.1s | best 0.8666 at epoch 028
