Train samples: 288
Val samples:   48
Test samples:  45
[Intermediate Concat1x1 Fusion] Total params: 30,772,611 (~30.77M) | Trainable: 30,772,611 (~30.77M)
Initial fusion info: {'gamma': 0.0, 'fusion_weight_shape': (320, 640, 1, 1, 1), 'fusion_bias_shape': (320,)}
================================================================================
Experiment directory: /net/fs-2/scale/OrionStore/Projects/WaiKnotCT/FullData/Multimodal/Fusion/IntermediateFusion2/Model
Device: cuda:0
Epochs: 300, AMP: True, Accum steps: 2
Validate every: 1, Patience: 30
================================================================================
Epoch 001/300 | train loss 1.5386 | val loss 1.4083 | val metric 0.0636 | lr 0.0001 | time 331.5s | best 0.0636 at epoch 001
Epoch 002/300 | train loss 1.3454 | val loss 1.3723 | val metric 0.0661 | lr 0.0001 | time 331.2s | best 0.0661 at epoch 002
Epoch 003/300 | train loss 1.3025 | val loss 1.3434 | val metric 0.0662 | lr 0.0001 | time 330.2s | best 0.0662 at epoch 003
Epoch 004/300 | train loss 1.2628 | val loss 1.3259 | val metric 0.0658 | lr 0.0001 | time 325.9s | best 0.0662 at epoch 003
Epoch 005/300 | train loss 1.2243 | val loss 1.3827 | val metric 0.3947 | lr 0.0001 | time 329.2s | best 0.3947 at epoch 005
Epoch 006/300 | train loss 1.1858 | val loss 1.2860 | val metric 0.5001 | lr 0.0001 | time 329.3s | best 0.5001 at epoch 006
Epoch 007/300 | train loss 1.1479 | val loss 1.2470 | val metric 0.5004 | lr 0.0001 | time 329.4s | best 0.5004 at epoch 007
Epoch 008/300 | train loss 1.1134 | val loss 1.2135 | val metric 0.5493 | lr 0.0001 | time 329.0s | best 0.5493 at epoch 008
Epoch 009/300 | train loss 1.0788 | val loss 1.1882 | val metric 0.4468 | lr 0.0001 | time 325.7s | best 0.5493 at epoch 008
Epoch 010/300 | train loss 1.0438 | val loss 1.1529 | val metric 0.4561 | lr 8e-05 | time 325.8s | best 0.5493 at epoch 008
Epoch 011/300 | train loss 1.0163 | val loss 1.1221 | val metric 0.4382 | lr 8e-05 | time 325.7s | best 0.5493 at epoch 008
Epoch 012/300 | train loss 0.9923 | val loss 1.0934 | val metric 0.4146 | lr 8e-05 | time 325.8s | best 0.5493 at epoch 008
Epoch 013/300 | train loss 0.9680 | val loss 1.0735 | val metric 0.4824 | lr 8e-05 | time 325.6s | best 0.5493 at epoch 008
Epoch 014/300 | train loss 0.9473 | val loss 1.0452 | val metric 0.4260 | lr 8e-05 | time 325.4s | best 0.5493 at epoch 008
Epoch 015/300 | train loss 0.9234 | val loss 1.0086 | val metric 0.4155 | lr 8e-05 | time 325.4s | best 0.5493 at epoch 008
Epoch 016/300 | train loss 0.9039 | val loss 0.9894 | val metric 0.5133 | lr 8e-05 | time 325.6s | best 0.5493 at epoch 008
Epoch 017/300 | train loss 0.8829 | val loss 0.9843 | val metric 0.4662 | lr 8e-05 | time 325.2s | best 0.5493 at epoch 008
Epoch 018/300 | train loss 0.8624 | val loss 0.9548 | val metric 0.4558 | lr 8e-05 | time 325.5s | best 0.5493 at epoch 008
Epoch 019/300 | train loss 0.8427 | val loss 0.9183 | val metric 0.5728 | lr 8e-05 | time 328.6s | best 0.5728 at epoch 019
Epoch 020/300 | train loss 0.8240 | val loss 0.9266 | val metric 0.3711 | lr 6.4e-05 | time 325.3s | best 0.5728 at epoch 019
Epoch 021/300 | train loss 0.8080 | val loss 0.8890 | val metric 0.4259 | lr 6.4e-05 | time 325.0s | best 0.5728 at epoch 019
Epoch 022/300 | train loss 0.7941 | val loss 0.8724 | val metric 0.5130 | lr 6.4e-05 | time 325.2s | best 0.5728 at epoch 019
Epoch 023/300 | train loss 0.7828 | val loss 0.8472 | val metric 0.5082 | lr 6.4e-05 | time 325.1s | best 0.5728 at epoch 019
Epoch 024/300 | train loss 0.7670 | val loss 0.8266 | val metric 0.4040 | lr 6.4e-05 | time 324.9s | best 0.5728 at epoch 019
Epoch 025/300 | train loss 0.7533 | val loss 0.8049 | val metric 0.6049 | lr 6.4e-05 | time 328.6s | best 0.6049 at epoch 025
Epoch 026/300 | train loss 0.7411 | val loss 0.8030 | val metric 0.4320 | lr 6.4e-05 | time 324.9s | best 0.6049 at epoch 025
Epoch 027/300 | train loss 0.7280 | val loss 0.7969 | val metric 0.4268 | lr 6.4e-05 | time 325.3s | best 0.6049 at epoch 025
Epoch 028/300 | train loss 0.7157 | val loss 0.7695 | val metric 0.5003 | lr 6.4e-05 | time 325.1s | best 0.6049 at epoch 025
Epoch 029/300 | train loss 0.7031 | val loss 0.7605 | val metric 0.3938 | lr 6.4e-05 | time 325.0s | best 0.6049 at epoch 025
Epoch 030/300 | train loss 0.6917 | val loss 0.7342 | val metric 0.5548 | lr 5.12e-05 | time 325.3s | best 0.6049 at epoch 025
Epoch 031/300 | train loss 0.6810 | val loss 0.7214 | val metric 0.5486 | lr 5.12e-05 | time 325.1s | best 0.6049 at epoch 025
Epoch 032/300 | train loss 0.6735 | val loss 0.7097 | val metric 0.6700 | lr 5.12e-05 | time 329.0s | best 0.6700 at epoch 032
Epoch 033/300 | train loss 0.6634 | val loss 0.7012 | val metric 0.6639 | lr 5.12e-05 | time 325.0s | best 0.6700 at epoch 032
Epoch 034/300 | train loss 0.6531 | val loss 0.6984 | val metric 0.5664 | lr 5.12e-05 | time 325.3s | best 0.6700 at epoch 032
Epoch 035/300 | train loss 0.6454 | val loss 0.6766 | val metric 0.6927 | lr 5.12e-05 | time 328.7s | best 0.6927 at epoch 035
Epoch 036/300 | train loss 0.6349 | val loss 0.6615 | val metric 0.6151 | lr 5.12e-05 | time 325.6s | best 0.6927 at epoch 035
Epoch 037/300 | train loss 0.6295 | val loss 0.6521 | val metric 0.5823 | lr 5.12e-05 | time 325.0s | best 0.6927 at epoch 035
Epoch 038/300 | train loss 0.6209 | val loss 0.6350 | val metric 0.6470 | lr 5.12e-05 | time 326.1s | best 0.6927 at epoch 035
Epoch 039/300 | train loss 0.6112 | val loss 0.6245 | val metric 0.7413 | lr 5.12e-05 | time 329.3s | best 0.7413 at epoch 039
Epoch 040/300 | train loss 0.6032 | val loss 0.6272 | val metric 0.5415 | lr 4.096e-05 | time 325.6s | best 0.7413 at epoch 039
Epoch 041/300 | train loss 0.5948 | val loss 0.6028 | val metric 0.7659 | lr 4.096e-05 | time 329.2s | best 0.7659 at epoch 041
Epoch 042/300 | train loss 0.5896 | val loss 0.6187 | val metric 0.5413 | lr 4.096e-05 | time 325.5s | best 0.7659 at epoch 041
